编号,类型,年份,标题,期刊/出版社,作者,DOI,PMID,原始条目
70,期刊,2024,Puerarin inhibits macrophage M1 polarization by combining STAT1 to reduce myocardial damage in EAM model mice,Biochem Biophys Res Commun,"Zhang Y, et al",10.1016/j.bbrc.2024.150838,,"Zhang Y, et al. Puerarin inhibits macrophage M1 polarization by combining STAT1 to reduce myocardial damage in EAM model mice. *Biochem Biophys Res Commun*, 2024, 736: 150838. DOI: 10.1016/j.bbrc.2024.150838"
71,期刊,2024,Puerarin suppresses macrophage M1 polarization to alleviate renal inflammatory injury through antagonizing TLR4/MyD88-mediated NF-κB p65 and JNK/FoxO1 activation,J Ethnopharmacol,"Li H, et al",10.1016/j.jep.2024.118449,,"Li H, et al. Puerarin suppresses macrophage M1 polarization to alleviate renal inflammatory injury through antagonizing TLR4/MyD88-mediated NF-κB p65 and JNK/FoxO1 activation. *J Ethnopharmacol*, 2024, 333: 118449. DOI: 10.1016/j.jep.2024.118449"
72,期刊,2020,Tanshinone IIA Promotes M2 Microglia by ERβ/IL-10 Pathway and Attenuates Neuronal Loss in Mouse TBI Model,PMC,"Chen L, et al",,,"Chen L, et al. Tanshinone IIA Promotes M2 Microglia by ERβ/IL-10 Pathway and Attenuates Neuronal Loss in Mouse TBI Model. *PMC*, 2020. PMC7781361."
73,期刊,2016,Hydroxysafflor Yellow A Inhibits LPS-Induced NLRP3 Inflammasome Activation via Binding to Xanthine Oxidase in Mouse RAW264.7 Macrophages,Oxid Med Cell Longev,"Zhou Y, et al",10.1155/2016/3961247,,"Zhou Y, et al. Hydroxysafflor Yellow A Inhibits LPS-Induced NLRP3 Inflammasome Activation via Binding to Xanthine Oxidase in Mouse RAW264.7 Macrophages. *Oxid Med Cell Longev*, 2016: 3961247. DOI: 10.1155/2016/3961247. PMC4940575."
74,期刊,2025,"*J Ethnopharmacol*, 2025.",J Ethnopharmacol,HSYA activates ZBP1-NLRP3 pathway for stroke-heart syndrome,10.1016/j.jep.2025,40602292,"HSYA activates ZBP1-NLRP3 pathway for stroke-heart syndrome. *J Ethnopharmacol*, 2025. DOI: 10.1016/j.jep.2025 (具体卷期待确认). PMID: 40602292."
75,期刊,2025,Potential of herbal formulas and bioactive metabolites in treating atherosclerosis: targeted modulation of macrophage polarization,Front Pharmacol,"Zhang W, et al",10.3389/fphar.2025.1631274,,"Zhang W, et al. Potential of herbal formulas and bioactive metabolites in treating atherosclerosis: targeted modulation of macrophage polarization. *Front Pharmacol*, 2025, 16: 1631274. DOI: 10.3389/fphar.2025.1631274"
76,期刊,2021,"*中国药房*, 2021, 32(5).",中国药房,基于网络药理学研究黄连解毒汤调控巨噬细胞极化的作用机制,,,"基于网络药理学研究黄连解毒汤调控巨噬细胞极化的作用机制. *中国药房*, 2021, 32(5)."
77,期刊,2024,A simplified herbal decoction (NXK) attenuates myocardial infarction by regulating macrophage metabolic reprogramming and phenotypic differentiation via modulation of the HIF-1α/PDK1 axis,Chin Med,"Wang X, Dong L, Li Y, et al",10.1186/s13020-024-00933-x,,"Wang X, Dong L, Li Y, et al. A simplified herbal decoction (NXK) attenuates myocardial infarction by regulating macrophage metabolic reprogramming and phenotypic differentiation via modulation of the HIF-1α/PDK1 axis. *Chin Med*, 2024, 19: 53. DOI: 10.1186/s13020-024-00933-x"
78,期刊,2024,Astragaloside IV modulates gut macrophages M1/M2 polarization by reshaping gut microbiota and short chain fatty acids in sepsis,Shock,"Yang T, Xie S, Cao L, et al",10.1097/SHK.0000000000002262,,"Yang T, Xie S, Cao L, et al. Astragaloside IV modulates gut macrophages M1/M2 polarization by reshaping gut microbiota and short chain fatty acids in sepsis. *Shock*, 2024, 61(1): 120-131. DOI: 10.1097/SHK.0000000000002262. PMC11841723."
79,期刊,2025,Berberine as a multi-target therapeutic agent for obesity: from pharmacological mechanisms to clinical evidence,Eur J Med Res,"Kong Y, Yang H, Nie R, et al",10.1186/s40001-025-02738-6,40506769,"Kong Y, Yang H, Nie R, et al. Berberine as a multi-target therapeutic agent for obesity: from pharmacological mechanisms to clinical evidence[J]. *Eur J Med Res*, 2025, 30(1): 477. DOI: 10.1186/s40001-025-02738-6. PMID: 40506769."
80,期刊,2019,Sinomenine contributes to the inhibition of the inflammatory response and the improvement of osteoarthritis in mouse-cartilage cells by acting on the Nrf2/HO-1 and NF-κB signaling pathways,Int Immunopharmacol,"Wu YF, Chen Y, et al",10.1016/j.intimp.2019.105544,,"Wu YF, Chen Y, et al. Sinomenine contributes to the inhibition of the inflammatory response and the improvement of osteoarthritis in mouse-cartilage cells by acting on the Nrf2/HO-1 and NF-κB signaling pathways. *Int Immunopharmacol*, 2019, 75: 105544. DOI: 10.1016/j.intimp.2019.105544"
81,期刊,2024,"*Molecules*, 2024, 29(2): 540.",Molecules,Bioactivities and Mechanisms of Action of Sinomenine and Its Derivatives: A Comprehensive Review,10.3390/molecules29020540,,"Bioactivities and Mechanisms of Action of Sinomenine and Its Derivatives: A Comprehensive Review. *Molecules*, 2024, 29(2): 540. DOI: 10.3390/molecules29020540"
82,期刊,2025,A sinomenine derivative alleviates bone destruction in collagen-induced arthritis mice by suppressing mitochondrial dysfunction and oxidative stress via the NRF2/HO-1/NQO1 signaling pathway,Pharmacol Res,"Guo WY, Wu QM, Zeng HF, Chen YL, Xu J, Yu ZY, et al",,,"Guo WY, Wu QM, Zeng HF, Chen YL, Xu J, Yu ZY, et al. A sinomenine derivative alleviates bone destruction in collagen-induced arthritis mice by suppressing mitochondrial dysfunction and oxidative stress via the NRF2/HO-1/NQO1 signaling pathway. *Pharmacol Res*, 2025, 215: 107686."
83,期刊,2024,Resveratrol-driven macrophage polarization: unveiling mechanisms and therapeutic potential,Front Pharmacol,"Wang Y, et al",10.3389/fphar.2024.1516609,,"Wang Y, et al. Resveratrol-driven macrophage polarization: unveiling mechanisms and therapeutic potential. *Front Pharmacol*, 2024, 15: 1516609. DOI: 10.3389/fphar.2024.1516609"
84,期刊,2025,"*PMC*, 2025",PMC,Interdisciplinarity traditional Chinese medicine microneedles in skin disease treatment,,,"Interdisciplinarity traditional Chinese medicine microneedles in skin disease treatment. *PMC*, 2025. PMC12513212."
85,期刊,2026,"*PMC*, 2026",PMC,Advances in Nanotechnology-Assisted Delivery of TCM-Derived Bioactive Compounds for Wound Repair,,,"Advances in Nanotechnology-Assisted Delivery of TCM-Derived Bioactive Compounds for Wound Repair. *PMC*, 2026. PMC13118309."
86,期刊,2025,Single-cell sequencing reveals cellular heterogeneity and molecular mechanisms in tendon and enthesis injury repair,Front Physiol,"Pan T, Dong Z, Zhang H, et al",10.3389/fphys.2025.1685955,41234689,"Pan T, Dong Z, Zhang H, et al. Single-cell sequencing reveals cellular heterogeneity and molecular mechanisms in tendon and enthesis injury repair[J]. *Front Physiol*, 2025, 16: 1685955. DOI: 10.3389/fphys.2025.1685955. PMID: 41234689."
87,期刊,2022,"CCR2 is expressed by tendon resident macrophage and T cells, while CCR2 deficiency impairs tendon healing via blunted involvement of tendon-resident and circulating monocytes/macrophages",FASEB J,"Muscat S, Nichols AEC, Gira E, et al",10.1096/fj.202201162R,36250393,"Muscat S, Nichols AEC, Gira E, et al. CCR2 is expressed by tendon resident macrophage and T cells, while CCR2 deficiency impairs tendon healing via blunted involvement of tendon-resident and circulating monocytes/macrophages[J]. *FASEB J*, 2022, 36(11): e22607. DOI: 10.1096/fj.202201162R. PMID: 36250393."
88,期刊,2025,Exploring cellular changes in ruptured human quadriceps tendons at single-cell resolution,J Physiol,"Mimpen JY, Baldwin MJ, Paul C, et al",10.1113/JP287812,40232153,"Mimpen JY, Baldwin MJ, Paul C, et al. Exploring cellular changes in ruptured human quadriceps tendons at single-cell resolution[J]. *J Physiol*, 2025, 603(16): 4535-4554. DOI: 10.1113/JP287812. PMID: 40232153."
89,期刊,2025,Single Cell and Spatial Transcriptomics Define a Proinflammatory and Profibrotic Niche After Kidney Injury,Adv Sci,"Zhao L, et al",10.1002/advs.202503691,,"Zhao L, et al. Single Cell and Spatial Transcriptomics Define a Proinflammatory and Profibrotic Niche After Kidney Injury. *Adv Sci*, 2025. DOI: 10.1002/advs.202503691"
90,期刊,2026,Integration of single-cell sequencing and multi-omics approaches with pharmacological analysis to unveil biomarkers and mechanisms of TCM in treating heart diseases,Pharmacol Res,"Zhang Y, et al",10.1016/j.phrs.2026,,"Zhang Y, et al. Integration of single-cell sequencing and multi-omics approaches with pharmacological analysis to unveil biomarkers and mechanisms of TCM in treating heart diseases. *Pharmacol Res*, 2026. DOI: 10.1016/j.phrs.2026 (具体待确认)."
91,期刊,2025,AI driven network pharmacology: Multi-scale mechanisms of traditional Chinese medicine from molecular to patient analysis,Comput Struct Biotechnol J,"Wang L, et al",,,"Wang L, et al. AI driven network pharmacology: Multi-scale mechanisms of traditional Chinese medicine from molecular to patient analysis. *Comput Struct Biotechnol J*, 2025, 28: 107-125. PMC12663848."
92,期刊,2026,AI-enabled target discovery in traditional Chinese medicine: from computational prediction to experimental validation,Targetome,"Guo C, Li Q, Liang W, Lu J, Yue W, et al",10.48130/targetome-0026-0027,,"Guo C, Li Q, Liang W, Lu J, Yue W, et al. AI-enabled target discovery in traditional Chinese medicine: from computational prediction to experimental validation. *Targetome*, 2026, 2(3): e029. DOI: 10.48130/targetome-0026-0027"
93,期刊,2026,Single-cell sequencing and network pharmacology coupled with molecular docking and experimental validation reveal the effects of YPFS on macrophages in stage I non-small cell lung cancer,Cancer Immunol Immunother,"Li W, et al",10.1007/s00262-026-04305-2,,"Li W, et al. Single-cell sequencing and network pharmacology coupled with molecular docking and experimental validation reveal the effects of YPFS on macrophages in stage I non-small cell lung cancer. *Cancer Immunol Immunother*, 2026, 75: 27. DOI: 10.1007/s00262-026-04305-2"
94,期刊,2024,The integration of machine learning into traditional Chinese medicine,J Pharm Anal,"Li S, et al",10.1016/j.jpha.2024,,"Li S, et al. The integration of machine learning into traditional Chinese medicine. *J Pharm Anal*, 2024. (被引24次). DOI: 10.1016/j.jpha.2024."
95,期刊,2025,Effectiveness of gua sha with Masanggoubang oil in rats with chronic soft tissue injury,Adv Clin Exp Med,"ZHU M, ZHAO D, LU C, et al",10.17219/acem/186865,39868741,"ZHU M, ZHAO D, LU C, et al. Effectiveness of gua sha with Masanggoubang oil in rats with chronic soft tissue injury[J]. *Adv Clin Exp Med*, 2025, 34(3): 421-432. DOI: 10.17219/acem/186865. PMID: 39868741."
96,期刊,2022,Metabolic remodeling in tumor-associated macrophages contributing to antitumor activity of cryptotanshinone by regulating TRAF6-ASK1 axis,PMC,"Li W, et al",,,"Li W, et al. Metabolic remodeling in tumor-associated macrophages contributing to antitumor activity of cryptotanshinone by regulating TRAF6-ASK1 axis. *PMC*, 2022. PMC9271981."
97,期刊,2023,"*J Ethnopharmacol*, 2023, 305: 116097.",J Ethnopharmacol,HSYA confers neuroprotection against acute traumatic brain injury by modulating neuronal autophagy to inhibit NLRP3 inflammasomes,10.1016/j.jep.2022.116097,,"HSYA confers neuroprotection against acute traumatic brain injury by modulating neuronal autophagy to inhibit NLRP3 inflammasomes. *J Ethnopharmacol*, 2023, 305: 116097. DOI: 10.1016/j.jep.2022.116097"
98,期刊,2023,"*Toxicol Appl Pharmacol*, 2023, 465: 116459.",Toxicol Appl Pharmacol,HSYA protects against colitis in mice by suppressing pyroptosis via inhibiting HK1/NLRP3/GSDMD and modulating gut microbiota,10.1016/j.taap.2023.116459,,"HSYA protects against colitis in mice by suppressing pyroptosis via inhibiting HK1/NLRP3/GSDMD and modulating gut microbiota. *Toxicol Appl Pharmacol*, 2023, 465: 116459. DOI: 10.1016/j.taap.2023.116459"
