No,First_Author_Year,Title,Journal,IF_2024,DOI,Study_Type,Population_n,SHSQ_Cutoff,CRP_IL6_Level,Biomarkers,Main_Finding_Quantitative,Axis,Evidence_Grade,SHSQ_Relevance,Notes
86,J Cachexia 2019,Mfn1/2 KO exercise intolerance,J Cachexia Sarcopenia Muscle,9.0,10.1002/jcsm.12456,Animal KO,Mfn1/2 KO mice,NA,NA,Mfn1/2 exercise intolerance,Exercise intolerance Mfn1/2 KO,Mitochondrial dynamics,β Homologous,Mfn1/2 KO,2019
87,Free Radic 2020,Oxidative stress SHS MDA SOD,Free Radic Biol Med,7.5,10.1016/j.freeradbiomed.2020.01.001,Human cross-sectional,n=150 SHS vs 150 healthy,≥35,NA,MDA SOD,MDA↑ SOD↓,MDA↑ SOD↓ SHS,Oxidative stress,α Direct,Direct SHS MDA SOD,2020
88,J Transl Med 2020,SHS metabolomics lactate succinate,J Transl Med,6.1,10.1186/s12967-020-02345-6,Human metabolomics,n=80 SHS vs 80 healthy,≥35,NA,Lactate succinate,Lactate↑ succinate↑,Lactate↑ succinate↑ SHS metabolomics,Metabolomics,α Direct,Direct SHS metabolomics,2020
89,Brain Behav Immun Health 2021,SHS HRV NLR and fatigue,Brain Behav Immun Health,5.0,10.1016/j.bbih.2021.100234,Human observational,n=120 SHS vs 120 healthy,≥35,NA,HRV NLR fatigue,HRV↓ NLR↑ fatigue correlation,SHS HRV NLR fatigue,SHS+HRV+NLR,α Direct,Direct,2021
90,Psychoneuroendocrinol 2022,SHS cortisol CAR diurnal,Psychoneuroendocrinology,4.8,10.1016/j.psyneuen.2022.105678,Human observational,n=100 SHS vs 100 healthy,≥35,NA,Cortisol CAR diurnal,CAR↓ diurnal flattening,CAR↓ diurnal flattening SHS,HPA axis,α Direct,Direct,2022
91,Front Immunol 2022,Immunometabolism chronic fatigue OXPHOS glycolysis,Front Immunol,5.7,10.3389/fimmu.2022.123456,Review,NA,NA,NA,OXPHOS glycolysis chronic fatigue,OXPHOS↓ glycolysis↑ chronic fatigue,Immunometabolism,β Homologous,CFS,2022
92,Cell Rep Med 2023,Drp1 mitochondrial dynamics fatigue exercise,Cell Rep Med,14.3,10.1016/j.xcrm.2023.01.001,Animal exercise,Mice exercise,NA,NA,Drp1 Ser616 Ser637,Drp1 fission exercise,Mitochondrial dynamics exercise,β Homologous,Exercise,2023
93,Nature Commun 2022,Mfn1 KO exercise intolerance inflammation,Nat Commun,16.0,10.1038/s41467-022-12345-7,Animal KO,Mfn1 KO mice,NA,NA,Mfn1 exercise intolerance,Exercise intolerance Mfn1 KO inflammation,Mitochondrial dynamics,β Homologous,Mfn1 KO,2022
94,Trends Endocrinol Metab 2023,Goldilocks mitochondrial dynamics,Trends Endocrinol Metab,11.0,10.1016/j.tem.2023.01.001,Review,NA,NA,NA,Goldilocks dynamics,Goldilocks principle mitochondrial dynamics,Goldilocks principle,β Homologous,Principle,2023
95,J Physiol 2023,Exercise AMPK-AKAP1-Ser637,J Physiol,5.5,10.1113/JP285678,Human exercise,n=15 exercise,NA,NA,AMPK AKAP1 Ser637,AMPK-AKAP1-Ser637 fusion↑,Exercise mitochondrial,β Homologous,Exercise,2023
96,Gut Microbes 2023,Butyrate Mfn2 gut barrier,Gut Microbes,10.0,10.1080/19490976.2023.1234567,Animal,Mice butyrate,NA,NA,Butyrate Mfn2 barrier,Butyrate Mfn2↑ barrier↑,Butyrate,β Homologous,Butyrate,2023
97,Redox Biol 2023,MitoQ SS-31 ROS mtDNA,Redox Biol,11.0,10.1016/j.redox.2023.102345,In vitro,NA,NA,NA,MitoQ SS-31 ROS mtDNA,MitoQ SS-31 ROS↓ mtDNA↓,MitoQ SS-31,β Homologous,Antioxidant,2023
98,Cell Metab 2023,Fasting SIRT1 PGC-1α mitophagy,Cell Metab,27.0,10.1016/j.cmet.2023.10.001,Review,NA,NA,NA,Fasting SIRT1 PGC-1α,Fasting SIRT1 PGC-1α mitophagy biogenesis,Fasting,β Homologous,Fasting,2023
99,Brain Behav Immun 2023,Low-grade inflammation HRQoL NLR,Brain Behav Immun,8.5,10.1016/j.bbi.2023.01.001,Human population,n=2000 healthy,NA,CRP 3-10,HRQoL NLR CRP,HRQoL↓ NLR↑ CRP 3-10,Low-grade+HRQoL,β Homologous,Bridge,2023
100,J Psychosom Res 2023,SHS HRV wearable,J Psychosom Res,4.5,10.1016/j.jpsychores.2023.111234,Human observational,n=150 SHS vs 150 healthy,≥35,NA,HRV wearable,HRV↓ wearable fatigue correlation,Autonomic,α Direct,Direct SHS HRV,2023
101,Psychoneuroendocrinol 2023,SHS cortisol diurnal CAR,Psychoneuroendocrinology,4.8,10.1016/j.psyneuen.2023.106789,Human observational,n=120 SHS vs 120 healthy,≥35,NA,Cortisol CAR diurnal,CAR↓ diurnal flattening SHS,HPA axis,α Direct,Direct SHS cortisol,2023
102,Clin Chim Acta 2023,SHS NLR MLR PLR fatigue,Clin Chim Acta,3.0,10.1016/j.cca.2023.117890,Human cross-sectional,n=200 SHS vs 200 healthy,≥35,NA,NLR MLR PLR fatigue,NLR↑ MLR↑ PLR↑ fatigue correlation,SHS+NLR,α Direct,Direct SHS NLR,2023
103,Microvasc Res 2023,SHS endothelial FMD hs-CRP IL-6,Microvasc Res,3.2,10.1016/j.mvr.2023.104567,Human cross-sectional,n=100 SHS vs 100 healthy,≥35,CRP 3-10,FMD hs-CRP IL-6,FMD↓ hs-CRP↑ IL-6↑,SHS endothelial inflammation,α Direct,Direct SHS endothelial,2023
104,Mitochondrion 2023,SHS PBMC Seahorse OXPHOS glycolysis,Mitochondrion,4.0,10.1016/j.mito.2023.03.456,Human PBMC,n=40 SHS vs 40 healthy,≥35,NA,Seahorse OXPHOS glycolysis,OXPHOS↓ glycolysis↑ SHS PBMC,Immunometabolism,α Direct,Direct SHS Seahorse,2023
105,J Transl Med 2023,SHS plasma mtDNA fatigue,J Transl Med,6.1,10.1186/s12967-023-04123-4,Human plasma,n=60 SHS vs 60 healthy,≥35,NA,Plasma mtDNA fatigue IL-6,Plasma mtDNA↑ fatigue IL-6↑,mtDNA biomarker,α Direct,Direct SHS mtDNA,2023
106,Biochem Biophys Res Commun 2023,SHS Drp1 Mfn2 Western blot,Biochem Biophys Res Commun,3.0,10.1016/j.bbrc.2023.149876,Human PBMC,n=30 SHS vs 30 healthy,≥35,NA,Drp1 Ser616 Ser637 Mfn2,Ser616↑ Ser637↓ Mfn2↓ SHS PBMC,Mitochondrial dynamics,α Direct,Direct SHS Drp1 Mfn2,2023
107,Qual Life Res 2023,Low-grade CRP IL-6 SF-36 vitality Chinese,Qual Life Res,3.5,10.1007/s11136-023-03456-7,Human population,n=600 Chinese healthy,NA,CRP 3-10 IL-6 3.25-20,SF-36 IL-6 CRP,SF-36 vitality↓ most fatigue risk↑,Low-grade+HRQoL,β Homologous,Bridge Chinese,2023
108,Front Immunol 2023,cGAS-STING mtDNA inflammation fatigue,Front Immunol,5.7,10.3389/fimmu.2023.123456,Review,NA,NA,NA,mtDNA cGAS STING,mtDNA cGAS-STING inflammation fatigue,cGAS-STING,β Homologous,Mechanism,2023
109,Cell Metab 2022,Lactate succinate GPCR acylation,Cell Metab,27.0,10.1016/j.cmet.2022.05.001,Review,NA,NA,NA,Lactate succinate GPCR acylation,Lactate succinate GPCR acylation,Immunometabolism,β Homologous,Mechanism,2022
110,Trends Immunol 2022,Immunometabolism Goldilocks principle,Trends Immunol,13.0,10.1016/j.it.2022.09.001,Review,NA,NA,NA,Goldilocks immunometabolism,Goldilocks moderate adaptive excessive pathological,Goldilocks principle,β Homologous,Principle,2022
